Gustavo Ramos,364.570.812-07,69.550.654-3,Rua Marcela Nogueira,01/10/2024,21/01/2026
Benício Cavalcanti,689.502.713-03,28.626.570-7,Rodovia Costela,14/12/2023,29/11/2025
Miguel Dias,673.459.082-83,75.376.368-3,Parque Carolina Viana,24/09/2023,06/04/2025
Maria Barros,095.746.812-11,27.539.250-6,Recanto Rodrigues,01/12/2023,16/06/2025
Eloah da Cruz,209.541.763-16,25.992.332-7,Praça Pires,30/01/2024,27/06/2025
Nina Costa,732.960.184-50,71.633.273-5,Parque Guilherme Teixeira,22/02/2024,31/05/2025
Camila Monteiro,631.295.084-06,55.282.343-4,Esplanada Otávio da Mota,27/02/2024,17/04/2025
Enzo Gabriel Duarte,763.981.405-75,28.394.228-0,Avenida de Cardoso,30/10/2024,20/06/2026
Dra. Evelyn Duarte,685.702.391-30,54.175.297-0,Trevo Luiz Miguel Porto,12/03/2024,04/08/2025
Bruno Souza,245.903.678-74,70.396.513-7,Travessa de Cunha,22/09/2024,18/05/2026
Stephany Rodrigues,849.650.731-93,90.185.435-6,Praça Luna Ferreira,08/12/2024,05/01/2026
Bárbara Cavalcanti,984.730.162-03,48.789.564-5,Trecho Ana Laura Pires,23/04/2024,07/04/2025
Danilo Teixeira,289.475.016-11,80.591.368-4,Largo Souza,26/06/2023,03/05/2025
Pedro Miguel Monteiro,081.975.324-60,54.260.978-3,Aeroporto Teixeira,16/03/2024,02/06/2025
Camila Vieira,143.927.650-16,26.490.863-2,Residencial de Carvalho,15/05/2024,22/07/2025
Noah Ferreira,180.697.425-85,93.282.821-2,Feira Peixoto,26/07/2024,20/08/2025
Dr. Rodrigo da Costa,631.925.048-89,89.308.210-1,Colônia Guilherme Santos,19/11/2024,26/07/2026
Maria Cecília Castro,562.934.180-42,91.697.675-7,Estrada Valentina Cardoso,31/07/2024,13/09/2025
Maysa Farias,829.675.140-20,28.582.245-6,Condomínio de Barbosa,08/12/2024,27/10/2025
Eduardo Martins,075.962.481-01,39.243.554-6,Estação Oliveira,25/11/2024,25/07/2026
Maria Julia Ribeiro,684.275.013-07,64.492.380-7,Lago de Caldeira,09/09/2024,28/09/2025
Fernando Costa,613.074.295-99,78.903.315-2,Favela Elisa Moura,01/12/2023,15/09/2025
Vitor Gabriel Araújo,839.417.506-66,44.272.459-0,Favela Souza,29/11/2023,11/10/2025
Davi Lucca Viana,769.435.201-99,67.227.672-3,Travessa Ferreira,20/11/2024,18/08/2026
Milena Ribeiro,184.935.726-91,53.815.957-6,Avenida Barros,26/09/2023,11/04/2025
Enzo Gabriel Rocha,821.067.549-49,30.991.871-0,Travessa de Silva,15/05/2023,29/04/2025
Davi Lucas Nascimento,530.974.826-10,55.262.362-0,Viaduto Cardoso,23/08/2024,25/07/2026
Paulo Dias,263.751.849-91,40.478.902-5,Aeroporto Moraes,05/09/2024,04/08/2025
Bárbara Aragão,513.908.764-20,65.955.731-9,Esplanada Castro,09/11/2024,28/11/2025
Matheus Correia,690.725.183-30,94.147.922-4,Condomínio Bianca Rocha,30/10/2024,06/10/2026
Evelyn Jesus,541.682.390-98,14.673.114-2,Praça de Pereira,07/12/2023,27/05/2025
Sra. Vitória da Mota,392.046.571-70,25.673.348-8,Recanto Barbosa,13/05/2024,14/10/2025
Sr. João Felipe Lima,436.592.087-10,33.833.448-5,Sítio de Novaes,05/04/2024,26/12/2025
Maria Fernanda da Costa,470.936.825-29,85.270.607-5,Avenida de Monteiro,14/07/2023,20/06/2025
Ana Luiza Novaes,573.261.904-61,65.986.306-5,Pátio Juan Cardoso,16/06/2023,02/05/2025
Alícia Correia,520.483.176-26,96.890.446-9,Vereda Mendes,20/08/2024,05/08/2025
Laís Jesus,762.513.849-64,80.696.302-5,Quadra João Guilherme Porto,07/02/2024,22/10/2025
Srta. Laís Monteiro,791.842.530-88,83.237.401-3,Via de Gonçalves,22/08/2024,25/03/2026
Srta. Julia Duarte,801.364.259-33,46.851.193-8,Setor Lima,20/02/2024,20/12/2025
Isadora Pires,607.325.948-47,28.605.735-6,Condomínio Oliveira,02/08/2024,22/11/2025
Lucas Gabriel Sales,817.420.395-88,97.995.263-3,Parque Jesus,26/01/2024,18/09/2025
Sr. Eduardo da Rocha,194.870.526-58,79.686.179-2,Trecho Cavalcanti,01/01/2024,08/10/2025
Enzo Rezende,230.794.851-14,12.194.798-8,Estrada Teixeira,18/06/2024,07/08/2025
Raquel Barbosa,102.387.954-97,60.837.897-2,Praia de Lopes,02/11/2024,07/07/2026
Augusto Monteiro,729.658.340-10,25.503.413-2,Estação Dias,19/10/2024,27/05/2025
Cauê Pinto,604.789.312-04,16.738.430-7,Condomínio Pedro Henrique Alves,16/04/2024,21/12/2025
Stephany Almeida,845.630.297-00,24.107.456-2,Esplanada Duarte,26/01/2024,04/09/2025
Pedro Miguel da Costa,409.657.138-57,87.707.868-0,Ladeira Emanuella Costela,09/12/2024,29/01/2026
Noah Pinto,296.573.418-09,31.315.195-3,Parque Cecília Souza,20/12/2024,10/12/2026
Renan Barbosa,608.573.192-21,43.380.913-0,Parque Laura Vieira,25/08/2024,13/11/2025
Ian Sales,472.398.605-74,70.689.751-1,Favela de Costa,01/07/2023,09/04/2025
Sr. Joaquim da Conceição,527.301.694-07,42.483.818-5,Colônia Carolina Campos,10/12/2024,14/06/2026
Maria Eduarda Cunha,064.952.781-01,22.342.601-6,Distrito Cavalcanti,29/09/2024,20/07/2025
Luigi Barbosa,647.385.129-19,20.513.338-5,Chácara de Gonçalves,07/10/2024,12/04/2025
Lucas Melo,814.365.702-71,26.779.458-4,Condomínio de Gonçalves,27/03/2024,13/12/2025
Brenda Santos,861.234.705-07,52.511.687-1,Setor da Rocha,28/12/2024,08/06/2026
Lorena Aragão,134.098.576-48,99.887.776-9,Largo de Cunha,10/07/2024,25/02/2026
Gabrielly Pereira,581.069.427-67,38.309.439-0,Trevo da Luz,02/11/2024,24/11/2025
Isaac da Rocha,401.867.293-40,63.913.637-9,Travessa Novaes,11/09/2023,06/08/2025
Pietro Farias,693.578.142-64,60.872.749-5,Campo de Carvalho,29/12/2024,19/07/2025
Olivia Nascimento,698.014.753-66,76.508.275-7,Chácara da Cunha,04/09/2024,19/05/2025
Lara Novaes,845.796.302-38,27.938.890-6,Travessa Cunha,21/03/2024,19/12/2025
Heitor Ferreira,107.968.235-02,44.956.444-5,Trecho de Cunha,14/02/2024,24/07/2025
Dra. Sofia Peixoto,521.796.480-49,31.278.170-1,Praia Nascimento,06/10/2024,25/08/2026
Marcela Pereira,568.379.420-00,54.227.219-7,Conjunto Mariana Ribeiro,07/03/2024,21/10/2025
Ana Luiza Carvalho,983.607.254-38,63.801.595-0,Distrito Leandro das Neves,10/01/2024,18/11/2025
Maria Fernanda Souza,083.791.465-57,35.207.127-5,Viaduto de Gomes,06/02/2024,10/06/2025
Sra. Larissa Almeida,860.417.329-31,79.814.810-6,Largo Daniela Lima,22/07/2023,06/04/2025
Gustavo da Mota,241.975.860-94,60.645.321-2,Vale de Melo,16/12/2024,28/09/2026
Sr. Diogo Ramos,713.568.429-09,17.827.441-5,Vereda de Rezende,16/01/2024,04/01/2026
Erick Araújo,709.245.813-79,19.436.843-0,Favela Ana Beatriz Ferreira,16/10/2024,31/03/2026
Luiz Fernando Ribeiro,357.960.812-68,97.792.106-7,Área Moraes,02/03/2024,04/10/2025
Emanuel Nunes,864.391.725-73,56.413.200-1,Colônia de Costa,26/12/2023,18/06/2025
Alice Porto,875.916.430-10,34.501.236-8,Vereda Augusto Ramos,20/02/2024,07/06/2025
Amanda Gonçalves,325.706.184-62,17.606.116-8,Largo de Nogueira,08/05/2024,18/01/2026
Felipe Ferreira,572.349.806-10,79.727.761-9,Loteamento de Nogueira,21/02/2024,06/07/2025
Cauã Ferreira,390.624.871-22,88.320.152-3,Estação de das Neves,12/01/2024,30/05/2025
Carlos Eduardo Ferreira,386.270.941-87,35.285.999-1,Rua de Silveira,04/09/2024,05/03/2026
André Fernandes,473.592.108-79,79.513.914-4,Feira Aragão,17/08/2023,29/04/2025
Dra. Joana da Mota,357.824.160-17,98.376.894-6,Setor Rodrigo Moreira,14/02/2024,16/08/2025
João Gabriel Mendes,948.125.673-19,11.859.919-4,Trevo de Santos,27/07/2024,22/12/2025
João Lucas Ramos,856.349.120-24,79.160.458-4,Rua João Gomes,05/05/2024,22/06/2025
Srta. Rebeca Moura,031.928.456-51,85.851.892-9,Estação de Ferreira,23/12/2024,26/06/2026
Letícia Dias,254.093.618-06,71.856.411-2,Via de Duarte,20/09/2024,29/03/2026
Sr. Murilo Gomes,435.012.976-61,28.607.130-9,Estação da Cunha,08/08/2024,16/11/2025
Joaquim Lopes,869.453.102-05,91.124.365-6,Praça Lucas Gabriel Rezende,18/08/2024,07/04/2026
Vinicius Campos,096.153.748-57,10.254.329-7,Vereda de da Rocha,08/08/2023,14/07/2025
Kevin Nascimento,436.972.180-69,95.235.166-5,Sítio de Souza,26/02/2024,11/09/2025
Caroline da Rosa,018.395.462-98,23.373.972-4,Travessa de Mendes,14/02/2024,02/08/2025
Marcelo da Cruz,841.076.293-50,27.239.377-7,Recanto Cauã Nunes,10/03/2024,02/08/2025
Nina Alves,435.012.689-98,87.930.776-8,Praça Pinto,17/01/2024,21/11/2025
Ana Júlia da Paz,342.860.159-98,50.155.940-6,Recanto Teixeira,29/05/2024,01/05/2026
Ian Teixeira,581.749.036-66,51.740.145-5,Morro de da Rocha,11/03/2024,24/02/2026
Vitor Araújo,894.521.706-11,11.527.793-7,Viela Cardoso,08/08/2024,09/05/2025
João Pedro Caldeira,294.367.801-50,51.964.647-7,Núcleo de da Rocha,12/12/2023,18/10/2025
Arthur da Conceição,534.716.908-75,75.321.160-6,Quadra Yago Peixoto,11/12/2024,01/04/2025
Enzo Gabriel Lopes,457.618.903-48,12.472.954-7,Distrito Nathan Carvalho,29/05/2024,25/08/2025
Maitê Oliveira,862.539.701-86,40.219.636-0,Área de Fogaça,27/08/2023,29/06/2025
Fernanda Moraes,571.640.932-61,72.569.595-3,Largo Cardoso,27/10/2023,16/10/2025
Maria Julia Cardoso,295.074.183-50,89.469.117-7,Loteamento Rodrigues,15/08/2023,24/07/2025
Sra. Maria Clara Costela,173.204.689-13,55.260.891-3,Passarela de Nascimento,25/03/2024,14/09/2025
Luiz Felipe Melo,809.576.321-77,34.922.293-0,Jardim Maria Pereira,22/03/2024,09/06/2025
Gustavo Viana,278.169.540-85,17.556.728-8,Lago Sarah Moura,28/09/2024,31/08/2026
Milena Mendes,604.592.317-07,15.745.277-3,Via de da Rosa,07/07/2024,20/10/2025
Stephany Teixeira,610.582.793-86,78.328.959-8,Rua Novaes,01/06/2024,06/02/2026
Elisa Carvalho,864.092.513-51,87.709.162-4,Lago de Souza,10/12/2023,08/10/2025
Ana Teixeira,673.109.852-30,72.588.811-2,Núcleo Araújo,19/11/2023,12/05/2025
Sofia Ferreira,185.093.624-24,91.814.371-3,Residencial de Cardoso,25/02/2024,12/05/2025
Rafael Viana,751.903.648-01,13.133.599-9,Trevo Maria Clara da Cruz,05/12/2024,23/03/2026
Nathan Melo,705.384.269-00,45.268.426-7,Ladeira de Nascimento,06/08/2023,26/06/2025
Maria Alice Porto,160.358.724-17,62.824.468-5,Fazenda Oliveira,21/08/2024,09/10/2025
Noah Viana,259.016.374-61,74.209.314-8,Travessa da Paz,19/11/2024,30/05/2026
João da Mata,172.394.068-22,90.288.932-6,Lagoa Alice Cardoso,20/09/2024,08/11/2025
Clarice Mendes,195.428.037-88,27.582.254-4,Sítio Isabella Campos,06/02/2024,22/10/2025
Otávio Carvalho,237.198.056-03,23.368.421-5,Conjunto de Gonçalves,04/08/2024,03/12/2025
Mariane da Rocha,971.546.230-80,30.475.921-0,Viaduto Nunes,20/01/2024,14/01/2026
Sr. Alexandre Pires,056.741.923-16,71.746.101-4,Viaduto Danilo Nogueira,05/03/2024,27/09/2025
Daniel Azevedo,526.930.184-98,12.464.862-1,Lago Souza,25/09/2023,14/07/2025
Eloah Jesus,172.649.853-00,98.692.170-9,Largo da Luz,09/08/2024,02/05/2026
Noah Cunha,013.967.825-59,30.284.261-0,Via de Mendes,07/12/2024,18/05/2025
Lorena da Rocha,649.037.581-84,67.136.339-4,Esplanada Lucas Azevedo,28/08/2024,03/04/2025
Isabelly Costa,796.038.451-75,96.603.674-8,Viela Azevedo,09/05/2024,19/04/2026
Juan Campos,539.276.108-95,44.543.282-3,Vila de Silva,02/08/2024,11/06/2025
Luiz Fernando Carvalho,574.129.036-16,84.368.556-5,Vereda Theo da Rocha,06/12/2024,20/07/2025
Samuel Melo,214.975.068-67,19.534.957-5,Vale de Costela,14/12/2023,20/08/2025
Maria Vitória Viana,872.643.591-82,25.857.223-9,Lagoa Nascimento,06/01/2024,13/08/2025
Maria Julia Mendes,962.573.048-65,30.663.851-4,Distrito de Souza,21/11/2024,19/01/2026
Dr. Rodrigo Cardoso,873.529.164-82,86.685.670-8,Loteamento da Cruz,01/10/2024,20/10/2025
Guilherme Pereira,976.234.180-50,94.712.209-4,Estrada Clara Rezende,29/07/2024,25/10/2025
Sra. Maria Alice Moraes,084.357.912-97,46.176.942-5,Aeroporto da Mata,09/08/2024,17/07/2026
Emanuel Castro,138.679.502-02,36.720.631-6,Área de Duarte,02/05/2024,21/11/2025
Luiz Felipe Almeida,785.239.610-03,21.304.640-2,Loteamento de Rocha,03/07/2024,05/08/2025
Yasmin da Mata,504.693.182-60,10.770.563-5,Rodovia de Barros,04/09/2023,18/08/2025
Daniel Moura,460.715.932-80,43.300.551-6,Rodovia de da Cunha,01/12/2024,22/10/2026
Maria Cecília da Costa,630.758.941-84,64.840.102-4,Sítio Fogaça,18/01/2024,22/06/2025
Sra. Nina Vieira,438.560.971-39,13.662.780-2,Favela Caldeira,24/09/2024,31/07/2025
Lorenzo Silva,926.738.154-73,17.746.469-3,Ladeira de da Mata,07/05/2024,11/07/2025
Davi Luiz da Rosa,609.473.251-07,37.364.659-6,Esplanada das Neves,05/08/2024,29/07/2026
Juan Mendes,751.362.908-03,16.559.944-7,Viaduto Calebe da Luz,15/11/2024,11/07/2026
Enzo Farias,728.036.514-08,76.211.666-1,Rua de Ramos,19/09/2023,01/09/2025
Erick da Conceição,196.523.487-91,25.500.418-9,Alameda Manuela Barros,28/09/2024,03/06/2026
Pietra da Luz,814.790.632-31,50.753.925-9,Praia da Cunha,31/12/2024,05/09/2026
Alícia da Mota,379.256.081-02,82.734.545-4,Estrada Moreira,18/02/2024,04/11/2025
Kevin Pinto,697.381.452-28,75.112.433-2,Viela de Correia,22/05/2024,02/10/2025
Otávio Cardoso,640.851.379-48,70.501.577-6,Loteamento Luiz Henrique Oliveira,26/03/2024,21/09/2025
Lara das Neves,023.648.597-00,55.662.365-2,Vila Peixoto,19/06/2024,09/10/2025
Gustavo Sales,735.426.901-80,83.358.628-6,Trecho de Freitas,02/07/2024,17/10/2025
Ana Sophia Moura,140.923.867-96,29.694.637-3,Morro de Costela,18/12/2024,15/03/2026
Dra. Isadora Castro,890.247.135-79,39.996.402-1,Chácara Ana Beatriz da Costa,11/02/2024,01/10/2025
Luiza da Mata,976.485.130-48,39.858.152-4,Sítio Renan Souza,09/03/2024,08/03/2026
Emanuella Cardoso,876.042.531-80,80.836.812-9,Quadra Moura,30/07/2024,04/03/2026
Maitê Campos,673.820.194-03,67.415.291-2,Aeroporto Gonçalves,22/07/2023,12/05/2025
Sra. Yasmin Campos,134.798.602-22,65.374.989-2,Quadra Ana Sophia Moreira,25/10/2024,27/04/2025
Augusto Barros,853.041.762-35,16.229.174-0,Vereda Mariane Souza,18/04/2024,31/01/2026
Júlia Novaes,789.360.542-10,81.533.404-7,Fazenda Barbosa,08/10/2024,27/02/2026
Rodrigo Nunes,697.528.413-09,20.871.951-0,Vila Daniela Correia,08/11/2024,18/08/2026
Levi Fogaça,749.512.083-50,61.608.715-4,Praça de Martins,24/01/2024,07/12/2025
Vitor Gabriel Gomes,739.218.056-86,75.462.629-1,Residencial de Lima,13/09/2024,16/06/2026
Cauê Cardoso,694.081.325-05,30.717.294-2,Estação Luiz Felipe da Mota,09/06/2024,04/04/2026
Emilly Correia,196.324.075-80,82.274.702-4,Praça de Sales,28/11/2024,01/06/2026
Maria Fernanda Gomes,908.435.761-20,58.337.588-6,Jardim Oliveira,26/05/2024,04/12/2025
Sofia Moreira,143.960.287-50,76.795.328-6,Loteamento João Gabriel Moraes,05/05/2024,02/05/2025
Srta. Ana Laura Barbosa,804.392.617-40,21.534.607-7,Parque de Mendes,28/05/2023,14/05/2025
Igor Carvalho,385.604.172-90,87.951.118-2,Viaduto de Lima,28/04/2024,10/07/2025
Anthony da Cunha,586.204.137-08,86.180.816-6,Avenida de Nogueira,18/05/2024,14/08/2025
Sra. Cecília Dias,695.472.801-20,64.393.957-7,Avenida Lucas Martins,03/11/2024,06/08/2026
Sarah da Conceição,587.230.641-53,97.989.663-4,Fazenda Luiz Gustavo da Mata,23/06/2023,20/04/2025
Dr. Yuri Pires,230.517.948-05,54.907.277-7,Núcleo Nascimento,12/09/2024,15/06/2026
Emanuelly Duarte,024.538.961-05,46.650.974-6,Morro de Dias,12/11/2024,16/12/2025
Nathan Porto,028.943.567-65,52.733.737-9,Esplanada de Peixoto,22/11/2023,14/07/2025
Maria Sophia Barros,394.506.712-06,25.475.488-4,Estrada de Almeida,06/12/2023,30/10/2025
Elisa Rezende,106.529.734-34,64.315.722-4,Campo Otávio Porto,25/01/2024,25/11/2025
Raul Silva,759.642.013-34,38.498.806-8,Morro de Silva,29/06/2024,19/08/2025
Lorena Nunes,287.496.531-64,21.336.427-0,Jardim Lima,25/08/2024,14/09/2025
Srta. Luiza da Paz,264.170.935-06,31.385.732-2,Estrada Theo Campos,22/09/2024,10/04/2025
Davi Costela,901.823.756-68,49.802.248-7,Pátio de Teixeira,15/08/2023,12/07/2025
Laura Rocha,961.824.703-13,11.789.460-0,Setor Daniela Sales,17/06/2024,22/05/2026
Sr. Enzo Gabriel Moreira,573.206.149-52,44.550.987-7,Chácara Pires,18/11/2024,25/09/2025
Ana Carolina Souza,625.098.417-85,34.713.584-0,Travessa Silva,22/11/2024,08/05/2025
Laura Rodrigues,319.724.680-22,23.202.159-5,Lagoa de Rodrigues,27/09/2024,01/08/2025
Theo Rodrigues,140.832.967-04,58.861.799-0,Vale de da Mata,19/07/2024,25/08/2025
Dr. Guilherme Ramos,185.629.703-95,28.482.184-5,Favela Mariane Rocha,24/04/2024,25/03/2026
Ana Clara Aragão,781.295.064-67,36.754.545-8,Ladeira Novaes,17/04/2024,24/03/2026
Dra. Ana Luiza Pereira,183.469.257-19,57.778.607-2,Alameda Luiz Miguel Teixeira,02/10/2024,17/04/2025
Samuel Lima,816.405.239-60,33.126.795-8,Trecho Lívia Nunes,18/11/2024,19/07/2025
João Felipe Campos,083.264.591-51,12.971.954-0,Avenida Viana,15/03/2024,13/07/2025
Srta. Milena Fernandes,235.867.140-17,65.148.125-7,Loteamento Bruna Souza,05/04/2024,31/12/2025
Gabriela Barros,976.815.243-55,10.652.500-8,Travessa de das Neves,29/06/2023,29/05/2025
Davi Lucca Caldeira,865.407.239-38,18.740.328-0,Feira Cardoso,11/05/2024,06/09/2025
Anthony da Paz,297.405.638-56,16.675.600-9,Avenida Lopes,08/04/2024,08/04/2026
Natália Dias,741.536.809-66,17.860.340-5,Morro Rocha,04/12/2023,06/04/2025
Maria Fernanda Araújo,068.413.572-80,78.400.456-9,Rodovia Costela,11/09/2024,12/05/2026
João Pedro Cunha,495.813.726-28,52.603.817-6,Estrada Rezende,05/05/2024,18/12/2025
Dr. Vicente Gonçalves,749.018.325-14,65.742.610-9,Pátio Luiz Miguel Nascimento,09/12/2023,08/07/2025
Danilo Nunes,179.632.508-21,32.368.101-6,Distrito de Silva,25/06/2024,12/08/2025
Augusto Rocha,295.130.687-30,14.509.235-5,Rodovia da Luz,16/08/2023,17/05/2025
Sr. Vitor Gabriel Costela,517.962.840-76,64.753.442-5,Recanto Moura,24/09/2024,28/06/2026
Sra. Isabel Lima,263.594.180-70,76.743.928-6,Chácara João Vitor da Mata,21/05/2024,02/10/2025
Marina Lopes,863.290.457-47,47.807.257-7,Recanto João Miguel Almeida,30/12/2024,30/08/2025
Srta. Maria Clara Souza,547.361.089-75,70.934.123-8,Rua Noah Aragão,15/12/2024,25/04/2026
Elisa Silva,537.280.614-17,89.434.360-5,Passarela de Ferreira,16/12/2023,19/09/2025
Francisco da Luz,892.415.037-50,82.889.114-4,Conjunto de Castro,02/11/2023,28/08/2025
Sra. Júlia Cavalcanti,027.894.653-47,69.838.804-5,Núcleo Dias,15/08/2024,15/08/2025
Dra. Giovanna Pinto,698.572.403-56,89.155.394-3,Núcleo Marcela Moura,09/10/2024,27/02/2026
Ana Lívia Farias,729.418.063-69,31.294.993-5,Fazenda Moraes,07/08/2024,26/03/2026
Isadora Correia,953.861.402-05,28.467.983-7,Setor de Ribeiro,21/12/2024,21/09/2026
Mariane Martins,785.642.190-85,51.865.135-4,Sítio Lorena Oliveira,16/01/2024,04/04/2025
Mariana Melo,286.045.793-38,79.251.374-4,Viaduto Porto,26/12/2023,11/11/2025
Cauê Caldeira,613.204.985-15,24.204.632-3,Setor de da Cruz,03/08/2024,22/07/2026
Dr. Yuri Farias,876.142.935-09,45.645.317-8,Travessa Rezende,13/04/2024,12/12/2025
Alexandre Farias,324.065.179-34,42.258.425-7,Fazenda João Miguel Vieira,11/08/2024,26/06/2025
Maria Luiza Castro,609.271.485-01,23.941.917-6,Condomínio Dias,07/03/2024,16/01/2026
Clarice Cunha,406.175.928-02,85.583.171-3,Vale de da Cruz,12/10/2023,05/05/2025
Letícia Rodrigues,921.038.465-24,87.762.230-5,Alameda Duarte,06/06/2024,23/10/2025
Miguel da Luz,649.278.305-00,98.539.484-7,Passarela Lavínia Azevedo,16/04/2024,24/08/2025
João Felipe Mendes,859.174.062-94,54.875.140-3,Viaduto de da Rosa,12/12/2024,26/09/2026
Eduarda Melo,065.917.348-48,15.487.294-8,Trecho de Melo,08/09/2024,31/07/2025
Pedro Lucas Martins,918.402.573-50,42.254.860-8,Viela Marcelo da Cunha,16/08/2023,14/07/2025
Esther Nogueira,476.851.023-07,47.873.692-8,Fazenda Helena Melo,17/07/2024,28/07/2025
Manuela Ramos,754.182.906-49,60.384.856-1,Vale Milena Nunes,28/02/2024,30/12/2025
Luana Costela,843.651.209-05,15.173.479-4,Favela Clarice Costela,07/12/2024,05/07/2025
Caio Moraes,230.967.485-00,69.386.195-3,Vereda Oliveira,01/04/2024,08/10/2025
Srta. Maria Alice da Paz,953.870.162-30,98.208.173-9,Condomínio Paulo Alves,05/06/2023,21/05/2025
Ana Laura Nunes,546.130.928-33,22.301.135-2,Morro de Aragão,04/08/2024,08/11/2025
Ana Luiza Azevedo,730.648.219-03,56.433.827-9,Esplanada Catarina Caldeira,07/12/2023,10/11/2025
Luiz Fernando Gonçalves,506.731.429-06,20.471.336-4,Sítio Lara da Mota,06/04/2024,24/09/2025
Bryan Lopes,123.570.846-26,37.425.383-2,Estrada Otávio das Neves,19/09/2024,20/08/2026
Ana Lívia Lima,417.238.690-31,69.514.585-0,Vila Murilo das Neves,29/10/2024,26/01/2026
Ana Sophia Alves,678.213.945-64,19.408.983-7,Viaduto de da Cunha,21/11/2023,22/08/2025
Melissa Vieira,734.801.596-48,77.400.895-8,Esplanada Fogaça,18/12/2024,23/01/2026
Vicente Alves,721.390.486-87,24.969.961-2,Quadra João Felipe Fernandes,10/09/2024,27/10/2025
Antônio das Neves,859.263.104-15,17.222.297-7,Lago Kevin Sales,17/01/2024,28/07/2025
Dr. André Gomes,314.250.698-51,58.283.390-7,Colônia Silveira,20/10/2024,07/09/2025
João Felipe da Rocha,523.741.968-28,76.361.559-7,Alameda Vinicius Duarte,19/12/2024,21/05/2025
Thomas Alves,918.364.507-10,27.674.891-5,Vereda de Nogueira,06/12/2024,23/06/2026
Bárbara Cardoso,960.135.742-43,39.509.203-3,Pátio de Moraes,13/12/2023,19/07/2025
Marcela Cunha,650.983.214-33,27.761.669-0,Favela Isaac Caldeira,03/05/2024,27/10/2025
Beatriz Melo,298.073.514-05,71.441.404-2,Colônia de Viana,01/11/2024,05/04/2026
Joana Fogaça,360.491.258-05,94.643.287-4,Campo Ana Vitória Almeida,21/12/2024,27/09/2026
